batch_index,start_sample,accuracy,drift_detected
252,126000,0.688,True
253,126500,0.702,True
254,127000,0.704,True
255,127500,0.684,True
256,128000,0.722,True
257,128500,0.684,True
258,129000,0.7,True
259,129500,0.698,True
260,130000,0.69,True
261,130500,0.696,True
262,131000,0.692,True
263,131500,0.738,True
264,132000,0.674,True
265,132500,0.706,True
266,133000,0.714,True
267,133500,0.696,True
268,134000,0.704,True
269,134500,0.734,True
270,135000,0.682,True
271,135500,0.69,True
272,136000,0.722,True
273,136500,0.678,True
274,137000,0.69,True
275,137500,0.694,True
276,138000,0.678,True
277,138500,0.658,True
278,139000,0.704,True
279,139500,0.692,True
280,140000,0.7,True
281,140500,0.694,True
282,141000,0.688,True
283,141500,0.702,True
284,142000,0.692,True
285,142500,0.742,True
286,143000,0.674,True
287,143500,0.668,True
288,144000,0.678,True
289,144500,0.692,True
290,145000,1.0,True
291,145500,1.0,True
292,146000,1.0,True
293,146500,1.0,True
294,147000,1.0,True
295,147500,1.0,True
296,148000,1.0,True
297,148500,1.0,True
298,149000,1.0,True
299,149500,1.0,True
