batch_index,start_sample,accuracy,drift_detected
289,144500,1.0,True
290,145000,1.0,True
291,145500,1.0,True
292,146000,1.0,True
293,146500,1.0,True
294,147000,1.0,True
295,147500,1.0,True
296,148000,1.0,True
297,148500,1.0,True
298,149000,1.0,True
299,149500,1.0,True
