scenario,seed,mean_accuracy,std_accuracy,final_accuracy,precision,recall,f1,fpr
E1_Baseline,42,0.9985400000000001,0.015479935400381997,0.99854,0.9999697110433536,0.9985582642711673,0.9992634892449251,0.0036855036855036856
E1_Baseline,43,0.9985400000000001,0.015479935400381995,0.99854,0.9999697110433536,0.9985582642711673,0.9992634892449251,0.0036855036855036856
E1_Baseline,44,0.99855,0.015480229326466702,0.99855,0.9999798071583623,0.9985582642711673,0.9992685301491694,0.002457002457002457
E1_Baseline,45,0.99855,0.015480229326466702,0.99855,0.9999798071583623,0.9985582642711673,0.9992685301491694,0.002457002457002457
E1_Baseline,46,0.99855,0.015480229326466702,0.99855,0.9999798071583623,0.9985582642711673,0.9992685301491694,0.002457002457002457
E1_Baseline,47,0.9985400000000001,0.015479935400381995,0.99854,0.9999697110433536,0.9985582642711673,0.9992634892449251,0.0036855036855036856
E1_Baseline,48,0.99855,0.015480229326466702,0.99855,0.9999798071583623,0.9985582642711673,0.9992685301491694,0.002457002457002457
E1_Baseline,49,0.99855,0.015480229326466702,0.99855,0.9999798071583623,0.9985582642711673,0.9992685301491694,0.002457002457002457
E1_Baseline,50,0.99855,0.015480229326466702,0.99855,0.9999798071583623,0.9985582642711673,0.9992685301491694,0.002457002457002457
E1_Baseline,51,0.99855,0.015480229326466702,0.99855,0.9999798071583623,0.9985582642711673,0.9992685301491694,0.002457002457002457
E2_RiyadhSeason,42,0.65268,0.34616299282274526,0.65268,0.996956530444707,0.5901435327304405,0.7414119153625087,0.00972551026937104
E2_RiyadhSeason,43,0.64875,0.35016204463076805,0.64875,0.9970767844629091,0.5874047512326311,0.7392798557039258,0.009591380896071476
E2_RiyadhSeason,44,0.6532399999999999,0.34579881781174443,0.65324,0.9974170554432052,0.5904861251052026,0.7418096259232785,0.008248609246115481
E2_RiyadhSeason,45,0.65232,0.3465670751817027,0.65232,0.997077077077077,0.5899130599578329,0.7412633208311008,0.009374598690124566
E2_RiyadhSeason,46,0.6520400000000001,0.3465253214413054,0.65204,0.996537368399984,0.5898331990712221,0.7410510961942043,0.011098280728765716
E2_RiyadhSeason,47,0.652,0.34698789604249886,0.652,0.9972969726093225,0.5896370480858015,0.7411061018613578,0.008695092103568208
E2_RiyadhSeason,48,0.65199,0.3469561065898682,0.65199,0.9968203815542135,0.5899821278509628,0.741246886501357,0.010250789762104313
E2_RiyadhSeason,49,0.6529200000000001,0.3459300414823783,0.65292,0.997136735878902,0.5902921827772181,0.7415790570926527,0.009146146466261593
E2_RiyadhSeason,50,0.6529900000000001,0.3458504877833773,0.65299,0.9969570787956438,0.5904041541689884,0.7416177094734961,0.009711839499073541
E2_RiyadhSeason,51,0.6525,0.34629431124406307,0.6525,0.9968965241069998,0.5900289154342055,0.741304865701864,0.009925717213114754
E3_Infrastructure,42,0.95723,0.07175532802517176,0.95723,0.9997683064252841,0.9571008005162018,0.9779693930637327,0.02702702702702703
E3_Infrastructure,43,0.9467099999999999,0.10307354607269512,0.94671,0.9997018517138202,0.9465549573528522,0.9724027571349412,0.0343980343980344
E3_Infrastructure,44,0.9617699999999999,0.0685414261596591,0.96177,0.9998008406620476,0.9616478131994435,0.9803532610092144,0.02334152334152334
E3_Infrastructure,45,0.95786,0.06894012184497501,0.95786,0.9998210639328042,0.957685560462162,0.9782998269753646,0.020884520884520884
E3_Infrastructure,46,0.9499799999999999,0.07306572110093762,0.94998,0.9997028862478777,0.9498517935999032,0.9741399811814337,0.0343980343980344
E3_Infrastructure,47,0.94756,0.07653421718421115,0.94756,0.99982974014089,0.9472909483193193,0.9728515220542555,0.019656019656019656
E3_Infrastructure,48,0.9615900000000001,0.07543640964414994,0.96159,0.9996331813656134,0.9616276490633758,0.9802621774811023,0.042997542997543
E3_Infrastructure,49,0.9444399999999998,0.08990732117019169,0.94444,0.9998291729837073,0.9441453430927752,0.9711897452916286,0.019656019656019656
E3_Infrastructure,50,0.95532,0.10181619517542384,0.95532,0.9997256515775035,0.9552154537938822,0.9769638474705603,0.03194103194103194
E3_Infrastructure,51,0.9509799999999999,0.07354590131339747,0.95098,0.9998303575215234,0.9507390155868772,0.9746669285071989,0.019656019656019656
E4_Ramadan,42,0.99855,0.015480229326466702,0.99855,0.9999798071583623,0.9985582642711673,0.9992685301491694,0.002457002457002457
E4_Ramadan,43,0.99855,0.015480229326466702,0.99855,0.9999798071583623,0.9985582642711673,0.9992685301491694,0.002457002457002457
E4_Ramadan,44,0.99855,0.015480229326466702,0.99855,0.9999798071583623,0.9985582642711673,0.9992685301491694,0.002457002457002457
E4_Ramadan,45,0.99855,0.015480229326466702,0.99855,0.9999798071583623,0.9985582642711673,0.9992685301491694,0.002457002457002457
E4_Ramadan,46,0.9985300000000001,0.015479635008616963,0.99853,0.99995961513221,0.9985582642711673,0.9992584483915392,0.004914004914004914
E4_Ramadan,47,0.99855,0.015480229326466702,0.99855,0.9999798071583623,0.9985582642711673,0.9992685301491694,0.002457002457002457
E4_Ramadan,48,0.9985300000000001,0.015479635008616963,0.99853,0.99995961513221,0.9985582642711673,0.9992584483915392,0.004914004914004914
E4_Ramadan,49,0.99855,0.015480229326466702,0.99855,0.9999798071583623,0.9985582642711673,0.9992685301491694,0.002457002457002457
E4_Ramadan,50,0.99855,0.015480229326466702,0.99855,0.9999798071583623,0.9985582642711673,0.9992685301491694,0.002457002457002457
E4_Ramadan,51,0.99855,0.015480229326466702,0.99855,0.9999798071583623,0.9985582642711673,0.9992685301491694,0.002457002457002457
E5_Compound,42,0.65266,0.3461834837192554,0.65266,0.9968768143506377,0.5901672375579287,0.741408576533651,0.009981444750143963
E5_Compound,43,0.64873,0.350183219329539,0.64873,0.997076667400837,0.5873811602066574,0.73926113968869,0.009591380896071476
E5_Compound,44,0.6532399999999999,0.34579881781174443,0.65324,0.9974170554432052,0.5904861251052026,0.7418096259232785,0.008248609246115481
E5_Compound,45,0.65229,0.3465954066343061,0.65229,0.9971167130528803,0.5898538364958662,0.7412275152751007,0.009246179529985873
E5_Compound,46,0.6518900000000001,0.34667807530906825,0.65189,0.9965760967502953,0.5896318059043738,0.7409028320494213,0.010969976905311778
E5_Compound,47,0.65201,0.34699789610313203,0.65201,0.9973169413130969,0.5896370480858015,0.7411116153462731,0.008630684013912147
E5_Compound,48,0.65173,0.34718673232138353,0.65173,0.9970972133247918,0.5895086934393826,0.7409495615176918,0.009348204500032235
E5_Compound,49,0.6529200000000001,0.3459300414823783,0.65292,0.997136735878902,0.5902921827772181,0.7415790570926527,0.009146146466261593
E5_Compound,50,0.65294,0.34592414833312807,0.65294,0.9969965760967503,0.5903211656332618,0.7415631608733209,0.009584052137243627
E5_Compound,51,0.6525200000000001,0.3462950325950403,0.65252,0.9968568568568569,0.5900763177853622,0.7413313085294863,0.010053790983606557
